Name,SKU,Price,Sale Price,Weight (Kg),Brand,Warrenty,Size,Material,Available Quantity,Product URL
"ECHO Bárszék 2 db, varrott műbőr borítás, barna, 63 cm magas",LBC080K01,"39,000 (Ft)","29,300 (Ft)",7,VASAGLE,1 év,,,13,https://www.deco24.hu/ECHO-Barszek-2-db-varrott-mubor-boritas-barna-63-c
"Bambusz konyhai rendszerező polcok, 2 db-os egymásra rakható, fehér lábakkal",KCS02NW,"7,690 (Ft)","5,490 (Ft)",1,SONGMICS,,30x20x15cm,"Bambusz, Acél",27,https://www.deco24.hu/spd/KCS02NW/Bambusz-konyhai-rendszerezo-polcok-2-db-os-egymasr
"Álló ruhafogas fém 12 akasztóval, egyenes lábakkal, fekete",RCR19B,"11,200 (Ft)","7,900 (Ft)",3,SONGMICS,1 év,49x49x182cm,Acél,49,https://www.deco24.hu/songmics-allo-ruhafogas-fem-12-akasztoval-egyenes-labakkal-fekete
"Kétszintes edény és tányérszárító kihúzható, ezüst 36x21x25-31cm",KCS017E01,"9,990 (Ft)","7,100 (Ft)",2,SONGMICS,,36x21x25.5-31.5cm,Acél,49,https://www.deco24.hu/songmics-ketszintes-edeny-es-tanyerszarito-kihuzhato-ezust-36x21x25-31cm
"Fali tükrös fürdőszoba szekrény, fehér 56x13x58cm",LHC002,"21,600 (Ft)","15,100 (Ft)",6,VASAGLE,1 év,56.5x13x58.5cm,"MDF (Közepes Sűrűségű Rostlemez), Üveg",42,https://www.deco24.hu/vasagle-fali-tukros-furdoszoba-szekreny-feher-56x13x58cm
"Műbőr óratároló doboz 12 rekesszel, üvegfedéllel, fekete 30x20x8cm",JWB12BK,"8,390 (Ft)","6,390 (Ft)",1,SONGMICS,,30.2x20.2x8cm,"MDF (Közepes Sűrűségű Rostlemez), PU (Bőr), Bársony szövet, Üveg",17,https://www.deco24.hu/songmics-mubor-oratarolo-doboz-12-rekesszel-uvegfedellel-fekete-30x20x8cm
"ECHO Bárszék 2 db, varrott műbőr borítás, 76 cm magas",LBC090K01,"40,400 (Ft)","30,300 (Ft)",8,VASAGLE,1 év,,,22,https://www.deco24.hu/ECHO-Barszek-2-db-varrott-mubor-boritas-76-cm-maga
"Polcos állvány, 130kg polconkénti teherbírással, fekete 150x75x30cm",GLR030B01,"19,800 (Ft)","13,900 (Ft)",10,SONGMICS,1 év,150x75x30cm,"MDF (Közepes Sűrűségű Rostlemez), Acél",49,https://www.deco24.hu/songmics-polcos-allvany-130kg-polconkenti-teherbirassal-fekete-150x75x30cm
"Fürdőszoba sarokpolc állítható, fehér 85-305cm",BCB001A,"9,690 (Ft)","7,390 (Ft)",2,SONGMICS,1 év,85-305cm,"Acél, ABS, PP",16,https://www.deco24.hu/songmics-furdoszoba-sarokpolc-allithato-feher-85-305cm
"Cipőtároló pad két tároló szinttel, rusztikus barna 73x30x45cm",LBS73X,"23,700 (Ft)","17,800 (Ft)",7,VASAGLE,1 év,73x30x45cm,"Forgácslap, Acél",12,https://www.deco24.hu/vasagle-cipotarolo-pad-ket-tarolo-szinttel-rusztikus-barna-73x30x45cm
Bambusz kosár szennyestartó 72L,LCB10Y,"11,000 (Ft)","7,790 (Ft)",2,SONGMICS,1 év,40×30×60cm,"Bambusz, Vas, MDF (Közepes Sűrűségű Rostlemez), TC szövet",34,https://www.deco24.hu/songmics-bambusz-kosar-szennyestarto-72l
"ECHO Bárszék 2 db, varrott műbőr borítás, zöld, 76 cm magas",LBC090C01,"42,100 (Ft)","33,700 (Ft)",8,VASAGLE,1 év,51.6x51.6x75cm,,2,https://www.deco24.hu/ECHO-Barszek-2-db-varrott-mubor-boritas-zold-76-cm
"Álló ruhafogas fém 12 akasztóval, fehér",RCR19W,"11,500 (Ft)","8,690 (Ft)",3,SONGMICS,1 év,49x49x182cm,Acél,0,https://www.deco24.hu/songmics-allo-ruhafogas-fem-12-akasztoval-feher
"Szabadon álló ajtós, fiókos szekrény, fehér 32x30x87cm",BBC43WT,"23,000 (Ft)","18,400 (Ft)",9,VASAGLE,1 év,32x30x87cm,MDF (Közepes Sűrűségű Rostlemez),9,https://www.deco24.hu/vasagle-szabadon-allo-ajtos-fiokos-szekreny-feher-32x30x87cm
"Zigzag sarokpolc 5 szintes fali polc, fehér 20x20x127cm",LBC72WT,"10,090 (Ft)","7,690 (Ft)",4,VASAGLE,1 év,20x20x127.5cm,Forgácslap,9,https://www.deco24.hu/vasagle-zigzag-sarokpolc-5-szintes-fali-polc-feher-20x20x127cm
"Szabadon álló ajtós szekrény, fehér 20x18x80cm",BBC310W01,"18,500 (Ft)","13,000 (Ft)",5,VASAGLE,,20x18x80cm,MDF,47,https://www.deco24.hu/vasagle-szabadon-allo-ajtos-szekreny-feher-20x18x80cm
"Fém ketrec háziállatoknak tengerimalac, hörcsög, nyúl számára, fekete 143x73x46cm",LPI01H,"13,000 (Ft)","9,890 (Ft)",4,SONGMICS,1 év,143x73x46cm,"Acél, Akrilonitril-Butadién-Sztirol műanyag (ABS)",23,https://www.deco24.hu/songmics-fem-ketrec-haziallatoknak-tengerimalac-horcsog-nyul-szamara-fekete-143x73x46cm
"Szennyestartó ruhaakasztóval, kivehető ruhatartó kosár, greige és palaszürke",BLH241G01,"36,200 (Ft)","29,000 (Ft)",7,VASAGLE,1 év,73x33x175cm,,5,https://www.deco24.hu/spd/BLH241G01/Szennyestarto-ruhaakasztoval-kiveheto-ruhatarto-ko
"Éjjeliszekrény rekesszel és fém hálós polccal, rusztikus barna 40x40x58cm",LET46X,"24,100 (Ft)","19,300 (Ft)",7,VASAGLE,1 év,40x40x58cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-ejjeliszekreny-rekesszel-es-fem-halos-polccal-rusztikus-barna-40x40x58cm
"Ruhaáállvány, kabátoknak, ruháknak, cipőknek, fekete 87x40x155cm",HSR05B,"16,500 (Ft)","13,200 (Ft)",4,SONGMICS,1 év,87.5x40x155cm,Acél,4,https://www.deco24.hu/songmics-ruhaaallvany-kabatoknak-ruhaknak-cipoknek-fekete-87x40x155cm
"Komód elhúzható ajtóval, tároló szekrény, rusztikus barna 70x30x80cm",LSC88BX,"54,300 (Ft)","43,400 (Ft)",19,VASAGLE,1 év,70x30x80cm,"Forgácslap, Acél",4,https://www.deco24.hu/vasagle-komod-elhuzhato-ajtoval-tarolo-szekreny-rusztikus-barna-70x30x80cm
"Dohányzóasztal újságtartóval, rusztikus barna 106x60x45cm",LCT61X,"39,700 (Ft)","31,800 (Ft)",13,VASAGLE,1 év,106.6x60.6x45cm,"Forgácslap, Acél",4,https://www.deco24.hu/vasagle-dohanyzoasztal-ujsagtartoval-rusztikus-barna-106x60x45cm
"Ruhaáállvány, kabátoknak, ruháknak, cipőknek, fehér 87x40x155cm",HSR05W,"16,500 (Ft)","13,200 (Ft)",4,SONGMICS,1 év,87.5x40x155cm,Acél,4,https://www.deco24.hu/songmics-ruhaaallvany-kabatoknak-ruhaknak-cipoknek-feher-87x40x155cm
"Íróasztal polcokkal, greige 120x60x75cm",LWD47MB,"53,400 (Ft)","42,700 (Ft)",18,VASAGLE,1 év,120x60x75cm,"Forgácslap, Acél",3,https://www.deco24.hu/vasagle-iroasztal-polcokkal-greige-120x60x75cm
"Lerakóasztal fém vázzal és edzett üveg lappal, rusztikus barna 40x40x60cm",LNT05BX,"35,500 (Ft)","28,400 (Ft)",12,VASAGLE,1 év,40x40x60cm,"Forgácslap, Acél, Üveg",2,https://www.deco24.hu/vasagle-lerakoasztal-fem-vazzal-es-edzett-uveg-lappal-rusztikus-barna-40x40x60cm
"Cipőtároló pad, párnázott ülőfelülettel, rusztikus barna 100x40x47cm",LSB47BX,"63,900 (Ft)","51,100 (Ft)",18,VASAGLE,1 év,100x40x47cm,"Forgácslap, Acél, PU (Bőr)",3,https://www.deco24.hu/vasagle-cipotarolo-pad-parnazott-ulofelulettel-rusztikus-barna-100x40x47cm
"Ruhaállvány két akasztóval, fehér 88x44x154cm",RDR01WT,"11,400 (Ft)","9,190 (Ft)",2,SONGMICS,1 év,88x44x154cm,"Acél, Nem szőtt szövet, Műanyag",2,https://www.deco24.hu/songmics-ruhaallvany-ket-akasztoval-feher-88x44x154cm
"Könyvespolc, tárolópolc, fehér 65x30x129cm",LBC24WT,"45,400 (Ft)","36,300 (Ft)",25,VASAGLE,1 év,65.7x30x129.5cm,Forgácslap,3,https://www.deco24.hu/vasagle-konyvespolc-tarolopolc-feher-65x30x129cm
"Lerakóasztal edzett üveglappal, fiókkal és polccal, rusztikus barna 43x43x54cm",LET04BXV2,"38,800 (Ft)","31,000 (Ft)",10,VASAGLE,1 év,43x43x54cm,"Forgácslap, Acél, Üveg",2,https://www.deco24.hu/vasagle-lerakoasztal-edzett-uveglappal-fiokkal-es-polccal-rusztikus-barna-43x43x54cm
"Lebegő fali polc, fehér 40x20x3cm",LWS24WT,"9,590 (Ft)","7,790 (Ft)",2,VASAGLE,,40x20x3.8cm,"MDF (Közepes Sűrűségű Rostlemez), Acél",2,https://www.deco24.hu/vasagle-lebego-fali-polc-feher-40x20x3cm
"Fürdőszobai szekrény, mosdó alá 60 x 30 x 60 cm, szürke",BBC001G01,"28,500 (Ft)","22,800 (Ft)",9,VASAGLE,1 év,60x30x60cm,MDF,2,https://www.deco24.hu/Furdoszobai-szekreny-mosdo-ala-60-x-30-x-60-cm-szu
"Fali polc, könyves polc, rusztikus barna 64×34×186cm",LLS46BX,"35,900 (Ft)","28,700 (Ft)",13,VASAGLE,1 év,64×34.2×186.5cm,"Forgácslap, Acél",2,https://www.deco24.hu/vasagle-fali-polc-konyves-polc-rusztikus-barna-64x34x186cm
"Irodai szék műbőr, fekete",OBG21B,"73,500 (Ft)","58,800 (Ft)",16,SONGMICS,1 év,52x53x(112-122)cm,"Nylon, , Polimer hab, PU (Bőr)",3,https://www.deco24.hu/songmics-irodai-szek-mubor-fekete
"Étkezőasztal 4 személyes, rusztikus barna 120x75x75cm",KDT75X,"63,700 (Ft)","51,000 (Ft)",19,VASAGLE,1 év,120x75x75cm,"Forgácslap, Acél",3,https://www.deco24.hu/vasagle-etkezoasztal-4-szemelyes-rusztikus-barna-120x75x75cm
"Kerek lerakóasztal szövet kosárral, kék 45×45×51cm",LET223Q62,"18,900 (Ft)","15,100 (Ft)",4,VASAGLE,1 év,45×45×51cm,"Forgácslap, Acél, Poliészter",3,https://www.deco24.hu/vasagle-kerek-lerakoasztal-szovet-kosarral-kek-45x45x51cm
"Szövet ruhatároló szekrény hordozható gardrób, szürke 140x43x174cm",RYG02GY,"23,900 (Ft)","19,100 (Ft)",6,SONGMICS,1 év,140x43x174cm,"Acél, Nem szőtt szövet, Műanyag",2,https://www.deco24.hu/songmics-szovet-ruhatarolo-szekreny-hordozhato-gardrob-szurke-140x43x174cm
"Sarok íróasztal monitor állvánnyal, fekete 140x130x92cm",LWD56BK,"64,800 (Ft)","51,800 (Ft)",25,VASAGLE,1 év,140x130x92.2cm,"Forgácslap, Acél",2,https://www.deco24.hu/vasagle-sarok-iroasztal-monitor-allvannyal-fekete-140x130x92cm
"Bárasztal készlet két székkel, rusztikus barna 120x60x90cm/40x30x65cm",LBT15X,"68,900 (Ft)","55,100 (Ft)",26,VASAGLE,1 év,120x60x90cm/40x30x65cm,"Forgácslap, Acél",2,https://www.deco24.hu/vasagle-barasztal-keszlet-ket-szekkel-rusztikus-barna-120x60x90cm/40x30x65cm
"Vállfa készlet 20db csúszásmentes nadrágtartóval, fekete",CRW02B-20, (Ft), (Ft),3,SONGMICS,1 év,44.5x23x1.2cm,Masszív fa,1,https://www.deco24.hu/songmics-vallfa-keszlet-20db-csuszasmentes-nadragtartoval-fekete
"Konyhai bárpult polcokkal, rusztikus barna 110x60x100cm",LBT11X,"63,700 (Ft)","51,000 (Ft)",18,VASAGLE,1 év,110x60x100cm,"Forgácslap, Acél",2,https://www.deco24.hu/vasagle-konyhai-barpult-polcokkal-rusztikus-barna-110x60x100cm
"Szelektív szemeteskuka 3x15L, ezüst",LTB45L,"50,500 (Ft)","40,400 (Ft)",6,SONGMICS,1 év,60x33x48cm,"Acél, Polipropilén (PP)",2,https://www.deco24.hu/songmics-szelektiv-szemeteskuka-3x15l-ezust
"Cipőtartó polc 5 szintes fém háló polcokkal, fekete 74x30x104cm",LMR005B,"25,300 (Ft)","20,200 (Ft)",6,SONGMICS,1 év,74x30.7x104cm,,1,https://www.deco24.hu/songmics-cipotarto-polc-5-szintes-fem-halo-polcokkal-fekete-74x30x104cm
"Lebegő fali polc, fehér 60x20x3cm",LWS26WT,"10,400 (Ft)","8,390 (Ft)",2,VASAGLE,,60x20x3.8cm,"MDF (Közepes Sűrűségű Rostlemez), Acél",1,https://www.deco24.hu/vasagle-lebego-fali-polc-feher-60x20x3cm
"Konzolasztal fém hálós polccal, rusztikus barna 45x45x55cm",LET41XV1,"18,700 (Ft)","15,000 (Ft)",6,VASAGLE,1 év,45x45x55cm,"Forgácslap, Acél",6,https://www.deco24.hu/vasagle-konzolasztal-fem-halos-polccal-rusztikus-barna-45x45x55cm
"Vállfa készlet 20db csúszásmentes nadrágtartóval, fehér",CRW03W-20, (Ft), (Ft),2,SONGMICS,1 év,44.5x23x1.2cm,Masszív fa,6,https://www.deco24.hu/songmics-vallfa-keszlet-20db-csuszasmentes-nadragtartoval-feher
"Ékszertartó doboz üvegfedéllel, 2 fiókkal, fekete 23x20x13cm",JBC239BK,"18,200 (Ft)","14,600 (Ft)",1,SONGMICS,,23.1x20.3x13.5cm,"MDF (Közepes Sűrűségű Rostlemez), PU (Bőr), Bársony szövet, Üveg",5,https://www.deco24.hu/songmics-ekszertarto-doboz-uvegfedellel-2-fiokkal-fekete-23x20x13cm
"Bársony vállfa, csúszásmentes ruhaakasztó 50 db, rózsaszín",CRF50PK,"14,400 (Ft)","11,500 (Ft)",4,SONGMICS,1 év,42.7×22×0.6cm,Akrilonitril-Butadién-Sztirol műanyag (ABS),1,https://www.deco24.hu/songmics-barsony-vallfa-csuszasmentes-ruhaakaszto-50-db-rozsaszin
"Bambusz fűszertartó 2 darabos szett, 3 szint, fekete 32x24x11/9cm",KCS016N01,"9,690 (Ft)","7,890 (Ft)",2,SONGMICS,,32x24.5x11.2/32x24x9.5cm,"Acél, Bambusz",6,https://www.deco24.hu/songmics-bambusz-fuszertarto-2-darabos-szett-3-szint-fekete-32x24x11/9cm
"Könyvespolc, tárolópolc, rusztikus barna 100x97x30cm",LBC52BX,"38,000 (Ft)","30,400 (Ft)",25,VASAGLE,1 év,100x97.5x30cm,Forgácslap,6,https://www.deco24.hu/vasagle-konyvespolc-tarolopolc-rusztikus-barna-100x97x30cm
"Cipőtartó polc 3 szintes fém háló polcokkal, fekete 74x30x62cm",LMR03B,"13,400 (Ft)","10,700 (Ft)",4,SONGMICS,1 év,74x30.5x62.5cm,Acél,2,https://www.deco24.hu/songmics-cipotarto-polc-3-szintes-fem-halo-polcokkal-fekete-74x30x62cm
"Cipőtároló polc 5 fém hálós polccal, fekete 100x30x110cm",LBS016B01,"37,500 (Ft)","30,000 (Ft)",11,VASAGLE,1 év,100x30x110cm,"Forgácslap, Acél",2,https://www.deco24.hu/vasagle-cipotarolo-polc-5-fem-halos-polccal-fekete-100x30x110cm
"Könyvespolc, álló polc, rusztikus barna 66x30x153cm",LLS061B01,"34,600 (Ft)","27,700 (Ft)",13,VASAGLE,1 év,66x30x153cm,"Forgácslap, Acél",6,https://www.deco24.hu/vasagle-konyvespolc-allo-polc-rusztikus-barna-66x30x153cm
"Négyzet alakú dohányzóasztal, rusztikus barna 80x80x45cm",LCT065B01,"43,300 (Ft)","34,600 (Ft)",12,VASAGLE,1 év,80x80x45cm,"Forgácslap, Acél",6,https://www.deco24.hu/vasagle-negyzet-alaku-dohanyzoasztal-rusztikus-barna-80x80x45cm
"Konzolasztal polcokkal edzett üveglappal, fekete 100x35x80cm",LGT026B01,"25,400 (Ft)","20,300 (Ft)",7,VASAGLE,1 év,100x35x80cm,"Acél, Üveg",6,https://www.deco24.hu/vasagle-konzolasztal-polcokkal-edzett-uveglappal-fekete-100x35x80cm
"Szövet szennyeskosár 4 kivehető zsákkal 4x35L, szürke",LSF005GS,"20,000 (Ft)","16,000 (Ft)",4,SONGMICS,1 év,87.5x81x38.5cm,"Acél, Poliészter",6,https://www.deco24.hu/songmics-szovet-szennyeskosar-4-kiveheto-zsakkal-4x35l-szurke
Ruhaállvány két akasztóval és kétpolccal fehér 114x45x114cm,RDR02WT,"13,800 (Ft)","11,000 (Ft)",3,SONGMICS,1 év,117x47x176cm,"Acél, Nem szőtt szövet, Műanyag",6,https://www.deco24.hu/Ruhaallvany-ket-akasztoval-es-ketpolccal-feher-114
"Mosógép feletti tárolószekrény, fürdőszoba szekrény, rusztikus barna 64x24x171cm",BTS003B01,"58,000 (Ft)","46,400 (Ft)",19,VASAGLE,1 év,64x24x171cm,"Forgácslap, Acél",1,https://www.deco24.hu/vasagle-mosogep-feletti-taroloszekreny-furdoszoba-szekreny-rusztikus-barna-64x24x171cm
"Konzolasztal fém hálós polccal, rusztikus barna 101x35x80cm",LNT80X,"25,600 (Ft)","20,500 (Ft)",9,VASAGLE,1 év,101.5x35x80cm,"Forgácslap, Acél",6,https://www.deco24.hu/vasagle-konzolasztal-fem-halos-polccal-rusztikus-barna-101x35x80cm
"Komód elhúzható ajtóval és fiókokkal, rusztikus barna 70x30x80cm",LSC100B01,"49,500 (Ft)","39,600 (Ft)",20,VASAGLE,1 év,70x30x80cm,"Forgácslap, Acél",6,https://www.deco24.hu/vasagle-komod-elhuzhato-ajtoval-es-fiokokkal-rusztikus-barna-70x30x80cm
"Bárasztal készlet két székkel, rusztikus barna 100x40x90cm/30x40x65cm",LBT218B01V1,"49,600 (Ft)","39,700 (Ft)",18,VASAGLE,1 év,100x40x90cm/30x40x65cm,"Forgácslap, Vas",5,https://www.deco24.hu/vasagle-barasztal-keszlet-ket-szekkel-rusztikus-barna-100x40x90cm/30x40x65cm
"Konyhai ülőpad 2db, rusztikus barna 108x33x50cm",KTB33X,"44,000 (Ft)","35,200 (Ft)",15,VASAGLE,1 év,108x33.5x50cm,"Forgácslap, Acél",1,https://www.deco24.hu/vasagle-konyhai-ulopad-2db-rusztikus-barna-108x33x50cm
"íróasztal, számítógép asztal, rusztikus barna 100x50x75cm",LWD41XV1,"26,300 (Ft)","21,000 (Ft)",10,VASAGLE,1 év,100x50x75cm,"Forgácslap, Acél",1,https://www.deco24.hu/vasagle-iroasztal-szamitogep-asztal-rusztikus-barna-100x50x75cm
"Kerek lerakóasztal, rusztikus barna, fekete acél lábakkal",LET57X,"23,700 (Ft)","19,000 (Ft)",5,VASAGLE,1 év,50x36x57cm,"Forgácslap, Acél",6,https://www.deco24.hu/Kerek-lerakoasztal-rusztikus-barna-fekete-acel-lab
"Szövet ruhatároló szekrény hordozható gardrób, fekete 175 x 150 x 45 cm",RYG12B,"20,400 (Ft)","16,300 (Ft)",5,SONGMICS,1 év,150x45x175cm,"Acél, Nem szőtt szövet, Műanyag",1,https://www.deco24.hu/Szovet-ruhatarolo-szekreny-hordozhato-gardrob-feke
"Fésülködőasztal, sminkasztal tükörrel fiókokkal, fehér 100x40x142cm",RDT115W01,"57,400 (Ft)","45,900 (Ft)",28,VASAGLE,1 év,100x40x142cm,"MDF, Üveg",2,https://www.deco24.hu/vasagle-fesulkodoasztal-sminkasztal-tukorrel-fiokokkal-feher-100x40x142cm
"Konzolasztal két fiókkal, beépített elosztóval, lerakóasztal, rusztikus barna",LET325B01,"42,400 (Ft)","33,900 (Ft)",14,VASAGLE,1 év,60x35x60cm,,6,https://www.deco24.hu/Konzolasztal-ket-fiokkal-beepitett-elosztoval-lera
"3 darabos lebegő polc szett magasfényű bevonattal, fehér 60x10x5cm",LWS60WT,"12,800 (Ft)","10,200 (Ft)",2,SONGMICS,1 év,60x10x5cm,MDF (Közepes Sűrűségű Rostlemez),5,https://www.deco24.hu/songmics-3-darabos-lebego-polc-szett-magasfenyu-bevonattal-feher-60x10x5cm
"Könyvespolc, tárolópolc 3 ajtóval, fehér 97x97x29cm",LBC33WT,"45,600 (Ft)","36,500 (Ft)",28,VASAGLE,1 év,97.5x97.5x29cm,Forgácslap,1,https://www.deco24.hu/vasagle-konyvespolc-tarolopolc-3-ajtoval-feher-97x97x29cm
"Cipőtároló polc 4 fém hálós polccal, rusztikus barna 93×75×30cm",LBS038B01,"27,700 (Ft)","22,200 (Ft)",8,VASAGLE,1 év,93.0×75.0×30.0cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-cipotarolo-polc-4-fem-halos-polccal-rusztikus-barna-93x75x30cm
"Cipőtartó polc szett, 6 szint, 45x30x106cm, fekete",LSA23BK,"9,790 (Ft)","7,890 (Ft)",2,SONGMICS,,45x30x106cm,"Vas, Műanyag",5,https://www.deco24.hu/Cipotarto-polc-szett-6-szint-45x30x106cm-fekete
"Műanyag ruhafugas 30 db csúszásmentes felület, szürke",CRP20G30,"9,990 (Ft)","8,090 (Ft)",3,SONGMICS,1 év,42x21.5x0.5cm,Akrilonitril-Butadién-Sztirol műanyag (ABS),5,https://www.deco24.hu/songmics-muanyag-ruhafugas-30-db-csuszasmentes-felulet-szurke
"Éjjeliszekrény fiókkal és polccal, rusztikus barna 45x45x60cm",LET067B01,"28,700 (Ft)","23,000 (Ft)",17,VASAGLE,1 év,45x45x60cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-ejjeliszekreny-fiokkal-es-polccal-rusztikus-barna-45x45x60cm
"3 darabos lebegő polc szett, fehér 60x15x10cm/45x15x10cm/30x15x10cm",LWS66WV1,"16,000 (Ft)","12,800 (Ft)",4,SONGMICS,1 év,60x15x10cm/45x15x10cm/30x15x10cm,MDF (Közepes Sűrűségű Rostlemez),5,https://www.deco24.hu/songmics-3-darabos-lebego-polc-szett-feher-60x15x10cm/45x15x10cm/30x15x10cm
"Fali ruhafogas 2 darab, fekete 110x30x29cm",HSR64BK-02, (Ft), (Ft),5,SONGMICS,1 év,110x30x29.5cm,Acél,5,https://www.deco24.hu/songmics-fali-ruhafogas-2-darab-fekete-110x30x29cm
"TV-szekrény két ajtós, polcokkal, rusztikus barna 140x40x45cm",LTV027X01,"50,100 (Ft)","40,100 (Ft)",27,VASAGLE,1 év,140x40x45cm,Masszív fa,6,https://www.deco24.hu/vasagle-tv-szekreny-ket-ajtos-polcokkal-rusztikus-barna-140x40x45cm
