Name,SKU,Price,Sale Price,Weight (Kg),Brand,Warrenty,Size,Material,Available Quantity,Product URL
"Ékszertartó doboz 5 fiókkal és tükörrel, fehér 26x15x32cm",JBC152W01,"25,100 (Ft)","20,100 (Ft)",3,SONGMICS,1 év,26x15x32cm,"MDF (Közepes Sűrűségű Rostlemez), PU (Bőr), Bársony szövet, Üveg",5,https://www.deco24.hu/songmics-ekszertarto-doboz-5-fiokkal-es-tukorrel-feher-26x15x32cm
"Cipőtároló polc 4 fém hálós polccal, rusztikus barna 100x30x92cm",LBS15BX,"30,000 (Ft)","24,000 (Ft)",11,VASAGLE,1 év,100x30x92.5cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-cipotarolo-polc-4-fem-halos-polccal-rusztikus-barna-100x30x92cm
"Álló ruhafogas fa 8 akasztóval, fehér",RCR04WT,"13,800 (Ft)","11,000 (Ft)",2,VASAGLE,1 év,47x47x175cm,Gumi fa,5,https://www.deco24.hu/vasagle-allo-ruhafogas-fa-8-akasztoval-feher
"Szövet cipőtároló szekrény, fekete 100x28x162cm",RXJ00H,"21,900 (Ft)","17,500 (Ft)",4,SONGMICS,1 év,100x28x162cm,"Acél, Nem szőtt szövet, Műanyag",5,https://www.deco24.hu/Szovet-cipotarolo-szekreny-fekete-100x28x162cm
"Cipőtároló polc 4 fém hálós polccal, greige 100x30x92cm",LBS015B02,"32,300 (Ft)","25,800 (Ft)",11,VASAGLE,1 év,100x30x92.5cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-cipotarolo-polc-4-fem-halos-polccal-greige-100x30x92cm
Bambusz laptop asztal állítható magasság 71x35cm,LLD004,"18,700 (Ft)","15,000 (Ft)",3,SONGMICS,1 év,71.5x35x(21-29)cm,Bambusz,5,https://www.deco24.hu/songmics-bambusz-laptop-asztal-allithato-magassag-71x35cm
"Konzolasztal 2 fém hálós polcccal, rusztikus barna 101x35x80cm",LNT81BX,"37,800 (Ft)","30,200 (Ft)",11,VASAGLE,1 év,101.5x35x80cm,"Forgácslap, Acél",6,https://www.deco24.hu/vasagle-konzolasztal-2-fem-halos-polcccal-rusztikus-barna-101x35x80cm
"Ékszertartó doboz 2 fiókkal és tükörrel, fekete 26x18x17cm",JBC121B,"25,600 (Ft)","20,500 (Ft)",2,SONGMICS,1 év,26x18x17cm,"MDF (Közepes Sűrűségű Rostlemez), PU (Bőr), Bársony szövet",5,https://www.deco24.hu/songmics-ekszertarto-doboz-2-fiokkal-es-tukorrel-fekete-26x18x17cm
"Kerek dohányzóasztal üveglappal, arany 84x84x45cm",LGT21G,"40,400 (Ft)","32,300 (Ft)",9,VASAGLE,1 év,84x84x45.5cm,"Acél, Üveg",1,https://www.deco24.hu/vasagle-kerek-dohanyzoasztal-uveglappal-arany-84x84x45cm
"Konzolasztal polcokkal edzett üveglappal, arany 100x30x73cm",LGT27G,"32,900 (Ft)","26,300 (Ft)",14,VASAGLE,1 év,100x30x73cm,"Acél, Üveg",5,https://www.deco24.hu/vasagle-konzolasztal-polcokkal-edzett-uveglappal-arany-100x30x73cm
"Könyvespolc elválasztókkal, tárolópolc, rusztikus barna 154x74x30cm",LBC022B01,"46,000 (Ft)","36,800 (Ft)",25,VASAGLE,1 év,154.5x74x30cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-konyvespolc-elvalasztokkal-tarolopolc-rusztikus-barna-154x74x30cm
"Ékszertartó doboz 5 fiókkal és tükörrel, fehér 30x21x31cm",JBC138,"36,800 (Ft)","29,400 (Ft)",5,SONGMICS,1 év,30.5x21.5x31.5cm,Felület: PU (Bőr) MDF szerkezet belül,5,https://www.deco24.hu/songmics-ekszertarto-doboz-5-fiokkal-es-tukorrel-feher-30x21x31cm
"Könyvespolc, tárolópolc, rusztikus barna 66x30x120cm",LLS60BX,"27,300 (Ft)","21,800 (Ft)",11,VASAGLE,1 év,66x30x120cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-konyvespolc-tarolopolc-rusztikus-barna-66x30x120cm
"Fém tároló állvány fürdőszobába, konyhába, fekete 30x30x121cm",LGR23BK,"18,600 (Ft)","14,900 (Ft)",4,SONGMICS,1 év,30x30x121cm,"Acél, Polipropilén (PP)",5,https://www.deco24.hu/songmics-fem-tarolo-allvany-furdoszobaba-konyhaba-fekete-30x30x121cm
"Álló ékszeres szekrény, tükörrel, polcokkal, zárható, fehér 162x55x55cm",JBC62W,"82,200 (Ft)","65,800 (Ft)",21,SONGMICS,1 év,162x55x55cm,"MDF, Bársony szövet, Üveg, Vasalatok",5,https://www.deco24.hu/songmics-allo-ekszeres-szekreny-tukorrel-polcokkal-zarhato-feher-162x55x55cm
"Cipőtároló polc 3 szintes, natúr 70x26x55cm",LBS03H,"18,500 (Ft)","14,800 (Ft)",3,SONGMICS,1 év,70x26x55cm,Bambusz,5,https://www.deco24.hu/songmics-cipotarolo-polc-3-szintes-natur-70x26x55cm
"Kerek dohányzóasztal üveglappal, fekete 84x84x45cm",LGT021B01,"31,700 (Ft)","23,800 (Ft)",9,VASAGLE,,84x84x45.5cm,"Vas, Üveg",10,https://www.deco24.hu/vasagle-kerek-dohanyzoasztal-uveglappal-fekete-84x84x45cm
"Lerakóasztal fém vázzal, greige 50x35x59cm",LNT050B02,"18,500 (Ft)","14,800 (Ft)",5,VASAGLE,,50x35x59.5cm,"Forgácslap, Acél",1,https://www.deco24.hu/vasagle-lerakoasztal-fem-vazzal-greige-50x35x59cm
"Konyhai tálaló kocsi, gurulós tároló polc, rusztikus barna 72x40x86cm",LRC72XV1,"40,600 (Ft)","32,500 (Ft)",13,VASAGLE,1 év,72x40x86cm,"MDF (Közepes Sűrűségű Rostlemez), Forgácslap, Acél",5,https://www.deco24.hu/vasagle-konyhai-talalo-kocsi-gurulos-tarolo-polc-rusztikus-barna-72x40x86cm
"Íróasztal polcokkal, rusztikus barna 100x50x75cm",LWD046B01,"30,000 (Ft)","24,000 (Ft)",12,VASAGLE,1 év,100x50x75cm,"Forgácslap, Acél",6,https://www.deco24.hu/vasagle-iroasztal-polcokkal-rusztikus-barna-100x50x75cm
"Szövet szennyeskosár 3 kivehető zsákkal 3x44L, fekete",LSF003B,"20,100 (Ft)","16,100 (Ft)",4,SONGMICS,1 év,83.4x77.6x41.5cm,"Acél, Poliészter",5,https://www.deco24.hu/songmics-szovet-szennyeskosar-3-kiveheto-zsakkal-3x44l-fekete
"Cipőtároló pad két tároló szinttel, greige 73x30x45cm",LBS73MB,"25,300 (Ft)","20,200 (Ft)",7,VASAGLE,1 év,73x30x45.5cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-cipotarolo-pad-ket-tarolo-szinttel-greige-73x30x45cm
"2 db éjjeliszekrény két fiókkal, fehér 30x38x52cm",RDN012,"51,800 (Ft)","41,400 (Ft)",19,VASAGLE,1 év,30x38x52cm,"MDF (Közepes Sűrűségű Rostlemez), Fenyőfa",1,https://www.deco24.hu/vasagle-2-db-ejjeliszekreny-ket-fiokkal-feher-30x38x52cm
"Fésülködőasztal, sminkasztal tükörrel fiókokkal párnázott székkel és világítással,",RVT004B02V1,"74,700 (Ft)","59,800 (Ft)",27,VASAGLE,,90x40x140.8cm,"Forgácslap, Tükör, Acél",5,https://www.deco24.hu/vasagle-fesulkodoasztal-sminkasztal-tukorrel-fiokokkal-parnazott-szekkel-es-vilagitassal-greige-90x4
"Tárolószekrény ajtóval és nyitott polcokkal, rusztikus barna 70x30x81cm",LSC74BXV1,"46,200 (Ft)","37,000 (Ft)",17,VASAGLE,1 év,70x30x81.5cm,"Forgácslap, Acél",6,https://www.deco24.hu/vasagle-taroloszekreny-ajtoval-es-nyitott-polcokkal-rusztikus-barna-70x30x81cm
"Macska alomszekrény, alomtálca tartó, greige 80x53x50cm",PCL002G01,"36,700 (Ft)","29,400 (Ft)",16,FEANDREA,,80x53x50cm,"Forgácslap, MDF (Közepes Sűrűségű Rostlemez)",5,https://www.deco24.hu/feandrea-macska-alomszekreny-alomtalca-tarto-greige-80x53x50cm
"3 darabos lebegő polc szett, képeknek és könyveknek, 38 x 10cm, fehér",LWS38WT,"14,100 (Ft)","11,300 (Ft)",2,SONGMICS,1 év,38x10x5cm,MDF (Közepes Sűrűségű Rostlemez),6,https://www.deco24.hu/3-darabos-lebego-polc-szett-kepeknek-es-konyveknek
"Előszoba fogas polccal, akasztókkal, cipőtartóval és ülőkével, fekete 187x68x35cm",HSR04B,"28,600 (Ft)","22,900 (Ft)",6,SONGMICS,1 év,187x68.8x35.2cm,Acél,5,https://www.deco24.hu/songmics-eloszoba-fogas-polccal-akasztokkal-cipotartoval-es-ulokevel-fekete-187x68x35cm
"Szennyestartó 2 rekeszes, mágneses fedéllel 2x71L, fekete",LCB02BK,"16,500 (Ft)","13,200 (Ft)",4,SONGMICS,1 év,36x60x66cm,"MDF (Közepes Sűrűségű Rostlemez), Poliészter, TC szövet",5,https://www.deco24.hu/songmics-szennyestarto-2-rekeszes-magneses-fedellel-2x71l-fekete
"Macska kaparófa, cicaházzal, rusztikus barna 66x42x88cm",PCT70HW,"45,600 (Ft)","36,500 (Ft)",15,FEANDREA,1 év,66x42x88cm,"MDF (Közepes Sűrűségű Rostlemez), Papír, Kémiai rost, Lenette szövet",5,https://www.deco24.hu/feandrea-macska-kaparofa-cicahazzal-rusztikus-barna-66x42x88cm
"Macska kaparófa macskaházzal, szürke 50x50x141cm",PCT02W,"61,400 (Ft)","49,100 (Ft)",23,FEANDREA,1 év,50x50x141cm,"Forgácslap, Papír, Bársony szövet, Lenette szövet",5,https://www.deco24.hu/feandrea-macska-kaparofa-macskahazzal-szurke-50x50x141cm
"Könyvespolc, tárolópolc, fehér 97x30x100cm",LBC52WT,"39,600 (Ft)","31,700 (Ft)",25,VASAGLE,1 év,97.5x30x100cm,Forgácslap,5,https://www.deco24.hu/vasagle-konyvespolc-tarolopolc-feher-97x30x100cm
"Cipőtároló pad, párnázott ülőfelülettel, rusztikus barna 80x30x48cm",LBS75X,"38,900 (Ft)","31,100 (Ft)",8,VASAGLE,1 év,80x30x48cm,"Forgácslap, Acél, PU (Bőr)",5,https://www.deco24.hu/vasagle-cipotarolo-pad-parnazott-ulofelulettel-rusztikus-barna-80x30x48cm
"Szennyestartó, polccal kihúzható és levehető ruhatartó zsákkal 2x46L, fekete",BLH211B01,"41,300 (Ft)","33,000 (Ft)",9,VASAGLE,1 év,73×33×92cm,"Forgácslap, Acél, Nem szőtt szövet",5,https://www.deco24.hu/vasagle-szennyestarto-polccal-kihuzhato-es-leveheto-ruhatarto-zsakkal-2x46l-fekete
"Bársony vállfa, csúszásmentes ruhaakasztó 30 db, rózsaszín",CRF21PK30,"9,790 (Ft)","7,890 (Ft)",2,SONGMICS,,42.7×22×0.6cm,Akrilonitril-Butadién-Sztirol műanyag (ABS),5,https://www.deco24.hu/songmics-barsony-vallfa-csuszasmentes-ruhaakaszto-30-db-rozsaszin
"Szennyestartó, kihúzható és levehető ruhatartó zsákkal 3x38L, barna, fekete",BLH301B01V1,"33,000 (Ft)","26,400 (Ft)",8,VASAGLE,1 év,92.5×33×72cm,"Forgácslap, Acél, Nem szőtt szövet",5,https://www.deco24.hu/vasagle-szennyestarto-kihuzhato-es-leveheto-ruhatarto-zsakkal-3x38l-barna-fekete
"Gurulós ruhaállvány, fekete 130x49x198cm",HSR62BK,"25,900 (Ft)","20,700 (Ft)",7,SONGMICS,1 év,130x49x198cm,Acél,4,https://www.deco24.hu/songmics-gurulos-ruhaallvany-fekete-130x49x198cm
"Szövet ruhatároló szekrény hordozható gardrób, fekete 140x43x174cm",RYG02BK,"22,300 (Ft)","17,800 (Ft)",6,SONGMICS,1 év,140x43x174cm,"Acél, Nem szőtt szövet, Műanyag",4,https://www.deco24.hu/songmics-szovet-ruhatarolo-szekreny-hordozhato-gardrob-fekete-140x43x174cm
"Műbőr óratároló doboz 10 rekesszel, üvegfedéllel, fekete 25x20x7cm",JWB010BK,"8,290 (Ft)","6,690 (Ft)",1,SONGMICS,,25x20x7.5cm,"MDF (Közepes Sűrűségű Rostlemez), PU (Bőr), Bársony szövet, Üveg",4,https://www.deco24.hu/songmics-mubor-oratarolo-doboz-10-rekesszel-uvegfedellel-fekete-25x20x7cm
"Bársony vállfa, csúszásmentes ruhaakasztó 20 db, fekete",CRF20B,"6,990 (Ft)","5,690 (Ft)",2,SONGMICS,,42.7×22×0.6cm,Akrilonitril-Butadién-Sztirol műanyag (ABS),4,https://www.deco24.hu/songmics-barsony-vallfa-csuszasmentes-ruhaakaszto-20-db-fekete
"Bortartó polc 20 borosüvegnek, pohártartóval, rusztikus barna és fekete 50 x 32 x 100 cm",LWR020B01,"42,600 (Ft)","34,100 (Ft)",11,VASAGLE,1 év,50x32x100cm,"Forgácslap, Acél",5,https://www.deco24.hu/Bortarto-polc-20-borosuvegnek-pohartartoval-ruszti
"Összecsukható tárolódobozok cipzárral 3db, szürke 40x30x25cm",RYZB03G,"10,400 (Ft)","8,390 (Ft)",2,SONGMICS,,40x30x25cm,Nem szőtt szövet,9,https://www.deco24.hu/songmics-osszecsukhato-tarolodobozok-cipzarral-3db-szurke-40x30x25cm
"Éjjeliszekrény két polccal, rusztikus barna 35x35x70cm",LET502B01,"24,100 (Ft)","19,300 (Ft)",9,VASAGLE,1 év,35x35x70cm,"Forgácslap, Acél",4,https://www.deco24.hu/vasagle-ejjeliszekreny-ket-polccal-rusztikus-barna-35x35x70cm
"Könyvespolc, álló polc, rusztikus barna 56x32x172cm",LLS45X,"30,600 (Ft)","24,500 (Ft)",14,VASAGLE,1 év,56.2x32x172.1cm,"Forgácslap, Acél",4,https://www.deco24.hu/vasagle-konyvespolc-allo-polc-rusztikus-barna-56x32x172cm
"Ékszertartó doboz üvegablakkal 3 oldalsó fiókkal, fehér",JBC162W01,"29,400 (Ft)","23,500 (Ft)",3,SONGMICS,,,"MDF (Közepes Sűrűségű Rostlemez), PU (Bőr), Bársony szövet",4,https://www.deco24.hu/songmics-ekszertarto-doboz-uvegablakkal-3-oldalso-fiokkal-feher
"Összecsukható háztartási létra, két lépcsőfok, maximum 150kg",GSL12WT,"18,100 (Ft)","14,500 (Ft)",4,SONGMICS,1 év,86.5x44.5x4.5cm,"Acél, Polipropilén (PP)",5,https://www.deco24.hu/Osszecsukhato-haztartasi-letra-ket-lepcsofok-maxim
"Kerek lerakóasztal szövet kosárral, fehér 45×45×51cm",LET223W10,"16,700 (Ft)","12,500 (Ft)",4,VASAGLE,1 év,45×45×51cm,"Forgácslap, Acél, Poliészter",9,https://www.deco24.hu/vasagle-kerek-lerakoasztal-szovet-kosarral-feher-45x45x51cm
"Képeret 10 darabos készlet 3 különböző méretben, fekete 28x23x1cm/20x15x1cm/18x13x1cm",RPF310H,"14,100 (Ft)","11,300 (Ft)",2,SONGMICS,1 év,28.4x23.3x1.2cm/20.2x15.2x1.2cm/18.2x13.2x1.2cm,"MDF, Polisztirol (PS)",4,https://www.deco24.hu/songmics-keperet-10-darabos-keszlet-3-kulonbozo-meretben-fekete-28x23x1cm/20x15x1cm/18x13x1cm
"Cipőtároló polc 3 szintes, fehér 70x26x55cm",LBS13W,"16,800 (Ft)","13,400 (Ft)",3,SONGMICS,1 év,70x26x55cm,Bambusz,4,https://www.deco24.hu/songmics-cipotarolo-polc-3-szintes-feher-70x26x55cm
"2 darabos fali polc szett, rusztikus barna 60x33x20cm",LCR01BX,"14,700 (Ft)","11,800 (Ft)",4,VASAGLE,1 év,60x33x20cm,"Forgácslap, Acél",4,https://www.deco24.hu/vasagle-2-darabos-fali-polc-szett-rusztikus-barna-60x33x20cm
"Álló ruhafogas fém 12 akasztóval, fekete",RCR17B,"11,700 (Ft)","9,490 (Ft)",3,SONGMICS,1 év,53.5x53.5x178cm,Acél,4,https://www.deco24.hu/songmics-allo-ruhafogas-fem-12-akasztoval-fekete
"Fém tároló állvány üvegpolcokkal fürdőszobába, konyhába, arany 40x30x95cm",LGT28G,"20,400 (Ft)","16,300 (Ft)",6,VASAGLE,1 év,40x30x95cm,"Acél, Üveg",5,https://www.deco24.hu/vasagle-fem-tarolo-allvany-uvegpolcokkal-furdoszobaba-konyhaba-arany-40x30x95cm
"Könyvespolc, álló polc, rusztikus barna 33x33x124cm",LLS34XV1,"22,700 (Ft)","18,200 (Ft)",5,VASAGLE,1 év,33.9x33.9x124.5cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-konyvespolc-allo-polc-rusztikus-barna-33x33x124cm
"Konzolasztal polcokkal edzett üveglappal, fekete 100x80x35cm",LGT025B01,"25,600 (Ft)","20,500 (Ft)",12,VASAGLE,1 év,100x80x35cm,"Vas, Üveg",4,https://www.deco24.hu/vasagle-konzolasztal-polcokkal-edzett-uveglappal-fekete-100x80x35cm
"Gurulós ruhaállvány, fekete 100x59x146-162cm",HSR60B,"35,100 (Ft)","28,100 (Ft)",9,SONGMICS,1 év,100x59x146—162cm,Acél,5,https://www.deco24.hu/songmics-gurulos-ruhaallvany-fekete-100x59x146-162cm
"Mosógép feletti tárolószekrény, fürdőszoba szekrény, rusztikus barna 63x25x165cm",BTS002B01V1,"33,500 (Ft)","26,800 (Ft)",11,VASAGLE,1 év,63x25x165cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-mosogep-feletti-taroloszekreny-furdoszoba-szekreny-rusztikus-barna-63x25x165cm
"Ékszertartó doboz 2 fiókkal és tükörrel, fehér 26x18x17cm",JBC121W,"23,400 (Ft)","18,700 (Ft)",2,SONGMICS,1 év,26x18x17cm,"MDF (Közepes Sűrűségű Rostlemez), PU (Bőr), Bársony szövet",4,https://www.deco24.hu/songmics-ekszertarto-doboz-2-fiokkal-es-tukorrel-feher-26x18x17cm
"Kerek lerakóasztal szövet kosárral, türkiz 45×45×51cm",LET223B56,"18,200 (Ft)","14,600 (Ft)",4,VASAGLE,1 év,45×45×51cm,"Forgácslap, Acél, Poliészter",4,https://www.deco24.hu/vasagle-kerek-lerakoasztal-szovet-kosarral-turkiz-45x45x51cm
"Szennyestartó ruhaakasztóval, kivehető ruhatartó kosár, rusztikus barna és fekete",BLH241B01,"28,200 (Ft)","22,600 (Ft)",7,VASAGLE,1 év,73x33x175cm,,5,https://www.deco24.hu/Szennyestarto-ruhaakasztoval-kiveheto-ruhatarto-ko
"Konzolasztal két fém hálós polccal, rusztikus barna 60x30x60cm",LET33BX,"24,400 (Ft)","19,500 (Ft)",7,VASAGLE,1 év,60x30x60cm,"Forgácslap, Acél",4,https://www.deco24.hu/Konzolasztal-ket-fem-halos-polccal-rusztikus-barna
"Fém ketrec háziállatoknak tengerimalac, hörcsög, nyúl számára 36 paneles, fekete 143x73x71cm",LPI02H,"25,500 (Ft)","20,400 (Ft)",9,SONGMICS,1 év,143x73x71cm,"Acél, Akrilonitril-Butadién-Sztirol műanyag (ABS)",5,https://www.deco24.hu/songmics-fem-ketrec-haziallatoknak-tengerimalac-horcsog-nyul-szamara-36-paneles-fekete-143x73x71cm
"Kerek lerakóasztal edzett üveglappal, arany 50x50x55cm",LGT20G,"20,700 (Ft)","16,600 (Ft)",4,VASAGLE,1 év,50x50x55cm,"Acél, Üveg",5,https://www.deco24.hu/vasagle-kerek-lerakoasztal-edzett-uveglappal-arany-50x50x55cm
"Szennyestartó 2 rekeszes, mágneses fedéllel 2x71L, szürke",LCB02G,"16,300 (Ft)","13,000 (Ft)",4,SONGMICS,1 év,36x60x66cm,"MDF (Közepes Sűrűségű Rostlemez), Poliészter, TC szövet",4,https://www.deco24.hu/songmics-szennyestarto-2-rekeszes-magneses-fedellel-2x71l-szurke
"Konyhai tálaló kocsi, gurulós tároló polc, rusztikus barna 66x26x85cm",LRC66BX,"31,600 (Ft)","25,300 (Ft)",10,VASAGLE,1 év,66x26x85cm,"Forgácslap, Acél",4,https://www.deco24.hu/vasagle-konyhai-talalo-kocsi-gurulos-tarolo-polc-rusztikus-barna-66x26x85cm
"Gardróbszekrény, fürdőszoba szekrény, fehér 60x32x122cm",BBC64WT,"53,000 (Ft)","42,400 (Ft)",17,VASAGLE,1 év,60x32.5x122cm,MDF (Közepes Sűrűségű Rostlemez),4,https://www.deco24.hu/vasagle-gardrobszekreny-furdoszoba-szekreny-feher-60x32x122cm
"Irodai fiókos irattároló szekrény, gurulós, 3 fiókkal, fekete 55x45x39cm",OFC63BK,"55,900 (Ft)","44,700 (Ft)",16,SONGMICS,1 év,55x45x39cm,"Acél, Polipropilén (PP)",3,https://www.deco24.hu/songmics-irodai-fiokos-irattarolo-szekreny-gurulos-3-fiokkal-fekete-55x45x39cm
Kézzel fonott rattan stílusú szennyeskosár 3 rekesszel 140L,LCB363N01,"28,400 (Ft)","22,700 (Ft)",5,SONGMICS,1 év,66x33x66cm,"Polipropilén (PP), Vas",4,https://www.deco24.hu/songmics-kezzel-fonott-rattan-stilusu-szennyeskosar-3-rekesszel-140l
"Konyhai bárpult, rusztikus barna 120x40x100cm",LBT12X,"35,900 (Ft)","28,700 (Ft)",13,VASAGLE,1 év,120x40x100cm,"Forgácslap, Acél",4,https://www.deco24.hu/vasagle-konyhai-barpult-rusztikus-barna-120x40x100cm
"Tároló szekrény, játéktároló, 3 gurulós, kihúzható tárolódobozzal, fehér 102 x 30 x 60",LHS380W01,"58,600 (Ft)","46,900 (Ft)",24,VASAGLE,1 év,102x30x60cm,MDF,4,https://www.deco24.hu/Tarolo-szekreny-jatektarolo-3-gurulos-kihuzhato-ta
"Előszoba fogas polccal, akasztókkal,",HSR408B01,"39,800 (Ft)","31,800 (Ft)",11,VASAGLE,1 év,80×32.2×182cm,"Forgácslap, Vas",3,https://www.deco24.hu/Eloszoba-fogas-polccal-akasztokkal
"Bársony vállfa, csúszásmentes ruhaakasztó 50 db, fehér",CRF020W02,"12,200 (Ft)","9,890 (Ft)",4,SONGMICS,1 év,42.7x22x0.6cm,Akrilonitril-Butadién-Sztirol műanyag (ABS),3,https://www.deco24.hu/songmics-barsony-vallfa-csuszasmentes-ruhaakaszto-50-db-feher
"Bárszék 2 db magas konyhai étkező szék, műbőr ülőfelülettel, rusztikus barna, fekete",LBC069B81V1,"41,300 (Ft)","33,000 (Ft)",10,VASAGLE,1 év,40.1x44.2x100.5cm,"Forgácslap, Acél",2,https://www.deco24.hu/vasagle-barszek-2-db-magas-konyhai-etkezo-szek-mubor-ulofelulettel-rusztikus-barna-fekete
"Műanyag tároló láda, fehér 76x40x48cm",LHS11WTV1,"27,700 (Ft)","22,200 (Ft)",13,VASAGLE,,76x40x48cm,Forgácslap,3,https://www.deco24.hu/vasagle-muanyag-tarolo-lada-feher-76x40x48cm
