Zpid,Street_address,City,State,ZipCode,Full Address,Price,Beds,Baths,Sqr_feet,Home_Status,Home_Type,Agent_name,Agent_phone,Listing Photos,Property_URL
2060409920,3050 Erin Centre Blvd #95,Mississauga,ON,L5M0P5,3050 Erin Centre Blvd #95 Mississauga ON L5M0P5,"C$3,200",2,3.0,1344,Townhouse for sale,TOWNHOUSE,"Rayo Irani, Broker",905-842-7000,"['https://photos.zillowstatic.com/fp/cb16d5330e62a51fd31d7a55f7da60fa-p_e.jpg', 'https://photos.zillowstatic.com/fp/c7a24628b17157b44dd6ea0f6fb003c6-p_e.jpg', 'https://photos.zillowstatic.com/fp/187111a60f789d11ec43083351d4fb31-p_e.jpg', 'https://photos.zillowstatic.com/fp/6223484877c534f2ec0fe349f0ea8321-p_e.jpg', 'https://photos.zillowstatic.com/fp/04ada954712714eda4bc862fb8c7ecea-p_e.jpg', 'https://photos.zillowstatic.com/fp/715a00959c7389ad8c9ee2ffae1ed22e-p_e.jpg', 'https://photos.zillowstatic.com/fp/8baeeec1e1cf82e0db843dfb789eb5b4-p_e.jpg', 'https://photos.zillowstatic.com/fp/0e017beab33ef955cd65bafeaec512a2-p_e.jpg', 'https://photos.zillowstatic.com/fp/efc091b1c76b36343ac4ba5d44b291f3-p_e.jpg', 'https://photos.zillowstatic.com/fp/6852d5bc5991628d95e56b53af01e64d-p_e.jpg', 'https://photos.zillowstatic.com/fp/dc3403fd7db202c1097ff6fdeac9cfa3-p_e.jpg']",https://www.zillow.com/homedetails/3050-Erin-Centre-Blvd-95-Mississauga-ON-L5M-0P5/2060409920_zpid/
2071843757,2315 Sheppard Ave W UNIT 45,Toronto,ON,M9M0E8,2315 Sheppard Ave W UNIT 45 Toronto ON M9M0E8,"C$499,900",1,1.0,,Townhouse for sale,TOWNHOUSE,,,[],https://www.zillow.com/homedetails/2315-Sheppard-Ave-W-UNIT-45-Toronto-ON-M9M-0E8/2071843757_zpid/
447525638,362 The East Mall #310,Toronto,ON,M9B6C4,362 The East Mall #310 Toronto ON M9B6C4,"C$624,900",3,2.0,,Condo for sale,CONDO,,,"['https://photos.zillowstatic.com/fp/aceaf0eba143fa87305022f9a9c24393-p_e.jpg', 'https://photos.zillowstatic.com/fp/bae13c858f00526b9c34a2a2a2d2c13a-p_e.jpg', 'https://photos.zillowstatic.com/fp/54590eb5f45e6a65cdadb4b481b7f312-p_e.jpg', 'https://photos.zillowstatic.com/fp/9363018e5599cf57aab411f03a647f13-p_e.jpg', 'https://photos.zillowstatic.com/fp/8b13dbb7fb0927ef60099a5f1d72cee3-p_e.jpg', 'https://photos.zillowstatic.com/fp/10a0c8b9d9fec30d05da98e861582e3b-p_e.jpg', 'https://photos.zillowstatic.com/fp/0b14a92fcba2127213a18a315ceb7034-p_e.jpg', 'https://photos.zillowstatic.com/fp/5c8cf2d11ac84d3a64dfc64a04618141-p_e.jpg', 'https://photos.zillowstatic.com/fp/1d143d91275dcfd5e64c60bf748b740c-p_e.jpg', 'https://photos.zillowstatic.com/fp/7bbba8a5a1cebf95eea8ecc51a8b12f9-p_e.jpg', 'https://photos.zillowstatic.com/fp/1be8c4cb40f6d8efebbadf86fd28af1d-p_e.jpg', 'https://photos.zillowstatic.com/fp/0503e48a85f0a95574b3286094d86ccb-p_e.jpg', 'https://photos.zillowstatic.com/fp/8dde455021eaeb9ff76c3de98e032afa-p_e.jpg', 'https://photos.zillowstatic.com/fp/37126183f16e33cabd6551d836fec482-p_e.jpg', 'https://photos.zillowstatic.com/fp/c246dc9363df5f6418aa554a83140b0c-p_e.jpg', 'https://photos.zillowstatic.com/fp/1830ff30d05e15d76b0fa6421dc4f881-p_e.jpg', 'https://photos.zillowstatic.com/fp/b1199c2a71b3bc9357d9838a02a0b31b-p_e.jpg', 'https://photos.zillowstatic.com/fp/d4565e8ef484c648a26d0c7ae97b0616-p_e.jpg', 'https://photos.zillowstatic.com/fp/561c4578f2a25f9f8f10b0a5a2b7d65b-p_e.jpg', 'https://photos.zillowstatic.com/fp/bd016d0f13d68c192916490bec2ef9a9-p_e.jpg', 'https://photos.zillowstatic.com/fp/e9aa1ec2e1f5ba2058e3c8cd9475693b-p_e.jpg', 'https://photos.zillowstatic.com/fp/26637ce6ed720a696b5ff99785df7b50-p_e.jpg', 'https://photos.zillowstatic.com/fp/6921d844849bcff3673666ea66075741-p_e.jpg', 'https://photos.zillowstatic.com/fp/b0f1924700bf305ab6c7e974ece71110-p_e.jpg', 'https://photos.zillowstatic.com/fp/56422431ef42a201166119fcdf8e7e9e-p_e.jpg', 'https://photos.zillowstatic.com/fp/92a2be2f417d22f2b950a341ebb6c512-p_e.jpg', 'https://photos.zillowstatic.com/fp/c03947cf704d71b777d9d7d60644a6f3-p_e.jpg', 'https://photos.zillowstatic.com/fp/93468dd027b4f6340fe2208ecb0cb7aa-p_e.jpg', 'https://photos.zillowstatic.com/fp/5d3057b143e33913dd64ca1eed5eedd3-p_e.jpg', 'https://photos.zillowstatic.com/fp/62439412a81615f14e3331ebbb90fdc5-p_e.jpg', 'https://photos.zillowstatic.com/fp/8e89ea8fcc831c1f26e35a79e92762e1-p_e.jpg', 'https://photos.zillowstatic.com/fp/5ecc90e78020784701b59ce13f28370e-p_e.jpg', 'https://photos.zillowstatic.com/fp/e54ac99a81521e215239a994da77cdea-p_e.jpg', 'https://photos.zillowstatic.com/fp/9e1fddc204354060b5824e7f5cb9cedf-p_e.jpg', 'https://photos.zillowstatic.com/fp/d59ed93609b78d74747ef72f218faf82-p_e.jpg', 'https://photos.zillowstatic.com/fp/0e481e99068faa5dd6f462cac6df8863-p_e.jpg', 'https://photos.zillowstatic.com/fp/9e37b04a8bc81c1eac65fb6e239ca8d8-p_e.jpg', 'https://photos.zillowstatic.com/fp/f1f8b68af394eb227a8c0717db90299b-p_e.jpg', 'https://photos.zillowstatic.com/fp/55582b32a5b28f21f6ac3eafb554a97e-p_e.jpg', 'https://photos.zillowstatic.com/fp/224583ced46069bdc646911bb08eb313-p_e.jpg']",https://www.zillow.com/homedetails/362-The-East-Mall-310-Toronto-ON-M9B-6C4/447525638_zpid/
447255043,340 Dixon Rd #2208,Toronto,ON,M9R1T1,340 Dixon Rd #2208 Toronto ON M9R1T1,"C$298,800",2,1.0,,Condo for sale,CONDO,,,"['https://photos.zillowstatic.com/fp/fdcb64b148fb29b8920b1fc5eeed94ab-p_e.jpg', 'https://photos.zillowstatic.com/fp/65686113daf3bec2f1518349942e40c9-p_e.jpg', 'https://photos.zillowstatic.com/fp/7b8d792ce1c013a99f8ae76289067cd5-p_e.jpg', 'https://photos.zillowstatic.com/fp/04ab1d733289262edca5f9894e8b09bf-p_e.jpg', 'https://photos.zillowstatic.com/fp/6f3413cb8b4ed5d81787f5f97d03657f-p_e.jpg', 'https://photos.zillowstatic.com/fp/039a7b5b10f167526d35c463b831e357-p_e.jpg', 'https://photos.zillowstatic.com/fp/37f6f0126a8ebcf53342ee3a9479199f-p_e.jpg', 'https://photos.zillowstatic.com/fp/5d8e511b3bc6119771e363bb8c1cc53d-p_e.jpg', 'https://photos.zillowstatic.com/fp/b6b43da9638cbe4197b51d671f473024-p_e.jpg', 'https://photos.zillowstatic.com/fp/7ba9ad5234ad2ec55626b6aba3416303-p_e.jpg', 'https://photos.zillowstatic.com/fp/ea020f3fe23fa1b5d5f185a3a3b2cc53-p_e.jpg']",https://www.zillow.com/homedetails/340-Dixon-Rd-2208-Toronto-ON-M9R-1T1/447255043_zpid/
447543175,3389 Scotch Pine Gate,Mississauga,ON,L5N7M8,3389 Scotch Pine Gate Mississauga ON L5N7M8,"C$949,800",4,3.0,,House for sale,SINGLE_FAMILY,,,[],https://www.zillow.com/homedetails/3389-Scotch-Pine-Gate-Mississauga-ON-L5N-7M8/447543175_zpid/
2075620764,4 Lisa St #1210,Brampton,ON,L6T4B6,4 Lisa St #1210 Brampton ON L6T4B6,"C$399,999",3,1.0,,Condo for sale,CONDO,,,"['https://photos.zillowstatic.com/fp/f975fa36fb37ffd12a55b3f91c31cbd8-p_e.jpg', 'https://photos.zillowstatic.com/fp/1c091e9b0e594d5b13d727c7be6a6bf1-p_e.jpg', 'https://photos.zillowstatic.com/fp/59fb3bb667baef6c59c42971565c8dad-p_e.jpg', 'https://photos.zillowstatic.com/fp/10eb970c71e536c23eaf3b01561fd162-p_e.jpg', 'https://photos.zillowstatic.com/fp/9ede06547d76e40d391c5845fdbc0493-p_e.jpg', 'https://photos.zillowstatic.com/fp/bce247521d7257ff21748c2045efad8c-p_e.jpg', 'https://photos.zillowstatic.com/fp/f97619b57cd9e82f96167326e3f5f9b0-p_e.jpg', 'https://photos.zillowstatic.com/fp/33b90ed7276c3af58f20585d8e42144b-p_e.jpg', 'https://photos.zillowstatic.com/fp/fa4112a0ed7b3e730dc34e4d344e306a-p_e.jpg', 'https://photos.zillowstatic.com/fp/0320f8c4f071f16e66f82ccc6afa43c1-p_e.jpg', 'https://photos.zillowstatic.com/fp/4d2d7af6123ad056c30d1334022aad15-p_e.jpg', 'https://photos.zillowstatic.com/fp/144ec745e8192883ec493dc0c6839519-p_e.jpg', 'https://photos.zillowstatic.com/fp/6e02a579a4d8d51a9d16e31f00d55827-p_e.jpg', 'https://photos.zillowstatic.com/fp/4de1d01ab1659a94dac7deff099f69ac-p_e.jpg', 'https://photos.zillowstatic.com/fp/d117d2f79b28e3f26fb7fd3742297054-p_e.jpg', 'https://photos.zillowstatic.com/fp/25549d45ea17c6b8bfac1d99a57f0ff5-p_e.jpg', 'https://photos.zillowstatic.com/fp/bd1429d6a50eb7da8e1ce3b99d406c38-p_e.jpg', 'https://photos.zillowstatic.com/fp/7569394f411e071d7122439ac7f9b9dc-p_e.jpg', 'https://photos.zillowstatic.com/fp/2e4006c2074b1e0c2596c4e7769d8f1f-p_e.jpg', 'https://photos.zillowstatic.com/fp/45bdcd84b027c7e773fb13ee7a6e9d92-p_e.jpg', 'https://photos.zillowstatic.com/fp/b1a74e16b83f3e617c5cf64e5bb1b80b-p_e.jpg', 'https://photos.zillowstatic.com/fp/eee79654238d5980eb4ea62be7fc14db-p_e.jpg', 'https://photos.zillowstatic.com/fp/3f6a5570d80c0e1465b5442f524e5f59-p_e.jpg', 'https://photos.zillowstatic.com/fp/84c2b00ce3ca347d5a0d569e73af5aa3-p_e.jpg', 'https://photos.zillowstatic.com/fp/da942bbeed56d6b69e116b39451a8f6b-p_e.jpg', 'https://photos.zillowstatic.com/fp/8cc9e10a6cca30f4ad8e41908663129e-p_e.jpg', 'https://photos.zillowstatic.com/fp/eeb4c4d35436cbca92dfb0c6f63160bc-p_e.jpg', 'https://photos.zillowstatic.com/fp/0579b3a307b1e1634511720eb58c2c4c-p_e.jpg', 'https://photos.zillowstatic.com/fp/a5c4a68718a333c3b174976eb760b876-p_e.jpg', 'https://photos.zillowstatic.com/fp/da7beb6d5e7f3e9b7492afefc4a94ec1-p_e.jpg', 'https://photos.zillowstatic.com/fp/3d1ccccb84838684fd4c12340d97391f-p_e.jpg', 'https://photos.zillowstatic.com/fp/582c366d8b96d411c0642f093ec79a53-p_e.jpg', 'https://photos.zillowstatic.com/fp/e1fc9c1b44d3fc5f1f3150900dab4e05-p_e.jpg', 'https://photos.zillowstatic.com/fp/5f47d0b8cbc877a8c605f27061e88103-p_e.jpg', 'https://photos.zillowstatic.com/fp/5fef858a12d8792f115b74ce97926aad-p_e.jpg', 'https://photos.zillowstatic.com/fp/e995509578d5306f7a5ac8612c946905-p_e.jpg']",https://www.zillow.com/homedetails/4-Lisa-St-1210-Brampton-ON-L6T-4B6/2075620764_zpid/
2081899314,2520 Eglinton Ave W #1119,Mississauga,ON,L5M0Y4,2520 Eglinton Ave W #1119 Mississauga ON L5M0Y4,"C$499,000",2,2.0,,Condo for sale,CONDO,,,"['https://photos.zillowstatic.com/fp/1116aac52cc06f986acd8e4f400a253c-p_e.jpg', 'https://photos.zillowstatic.com/fp/f0da140bbb7c6f546d5d3935c04e9f0c-p_e.jpg', 'https://photos.zillowstatic.com/fp/92aeb608bf430698434c084c58fdd1ef-p_e.jpg', 'https://photos.zillowstatic.com/fp/a4c3b992b5949b4ddba539ea91520b7b-p_e.jpg', 'https://photos.zillowstatic.com/fp/36b76aa77a9388889de957d9861c7c0b-p_e.jpg', 'https://photos.zillowstatic.com/fp/450f9e2b39d69b9121d3cddafc71a948-p_e.jpg', 'https://photos.zillowstatic.com/fp/8e7fb8a3eee6bac51bab6b257dcc6448-p_e.jpg', 'https://photos.zillowstatic.com/fp/eda96c3031d11652bff3c3d90c81385d-p_e.jpg', 'https://photos.zillowstatic.com/fp/e8cc3afd0698ebbc66c5fab3aba85162-p_e.jpg', 'https://photos.zillowstatic.com/fp/2db98f2dd4a2dc0b0b46c0ea2aee2090-p_e.jpg', 'https://photos.zillowstatic.com/fp/acb42bb9ce57a4990d091a5b84659643-p_e.jpg', 'https://photos.zillowstatic.com/fp/af67058e2d4fde0eb2f4e450b641751c-p_e.jpg', 'https://photos.zillowstatic.com/fp/f61a9831f74c9c3ea506256d5b6808af-p_e.jpg', 'https://photos.zillowstatic.com/fp/65a2f568b39ebe45cc680c3e3ca54c72-p_e.jpg', 'https://photos.zillowstatic.com/fp/b159efc21a1479068074b5a3bf142a23-p_e.jpg', 'https://photos.zillowstatic.com/fp/87863c9db749524106381e16bfd12b2c-p_e.jpg', 'https://photos.zillowstatic.com/fp/c99f7ecc93d0581f8ccf0076bb926630-p_e.jpg', 'https://photos.zillowstatic.com/fp/0f5456052d88080aba8ae2bb1daadfd2-p_e.jpg', 'https://photos.zillowstatic.com/fp/451b89e397692363ef67c5306985f44d-p_e.jpg', 'https://photos.zillowstatic.com/fp/245ad14dcac5dfab3a819dc577e9dbe5-p_e.jpg', 'https://photos.zillowstatic.com/fp/acd6921816e365e40a2856413b1d0b35-p_e.jpg', 'https://photos.zillowstatic.com/fp/040a4569f0347eed45ca77b7aac4e03a-p_e.jpg', 'https://photos.zillowstatic.com/fp/6540c25385d82f43a4ef3cf8b73408c9-p_e.jpg', 'https://photos.zillowstatic.com/fp/9ea07ce0aef770c3773fd26b3b00a89e-p_e.jpg', 'https://photos.zillowstatic.com/fp/d323a0fc69a58b4d770ce76a2fb5b136-p_e.jpg', 'https://photos.zillowstatic.com/fp/52449a8b2c3146bbc07cebbd5ca02388-p_e.jpg', 'https://photos.zillowstatic.com/fp/9007a314d983da1928de8a9d1467c3a4-p_e.jpg', 'https://photos.zillowstatic.com/fp/56f6b712921929ba889f3b8934a67fd7-p_e.jpg', 'https://photos.zillowstatic.com/fp/ed643d3ffaf01c1cda4cf763a0116700-p_e.jpg', 'https://photos.zillowstatic.com/fp/f6192109e942f660da398ef78661410e-p_e.jpg', 'https://photos.zillowstatic.com/fp/2a57c80438ec946b533267f3b3175389-p_e.jpg', 'https://photos.zillowstatic.com/fp/f3cf00d1d960a5297ed10667fbba58ef-p_e.jpg', 'https://photos.zillowstatic.com/fp/989905ec1bebeb0da5ee7c2572c36b0c-p_e.jpg', 'https://photos.zillowstatic.com/fp/2f7ac4799c4b96f7d4874419c8a6447f-p_e.jpg', 'https://photos.zillowstatic.com/fp/fe862285da65ab9874a0ff11d9b65295-p_e.jpg', 'https://photos.zillowstatic.com/fp/a6f62a3510477c3880bd6d84748094e0-p_e.jpg']",https://www.zillow.com/homedetails/2520-Eglinton-Ave-W-1119-Mississauga-ON-L5M-0Y4/2081899314_zpid/
447291255,601 Shoreline Dr #125,Mississauga,ON,L5B4K2,601 Shoreline Dr #125 Mississauga ON L5B4K2,"C$429,000",1,1.0,,Townhouse for sale,TOWNHOUSE,,,"['https://photos.zillowstatic.com/fp/2584758e4d5bc2a1cb16c023c2f876b8-p_e.jpg', 'https://photos.zillowstatic.com/fp/2e9288e2b0562207da0ddf068622c3c1-p_e.jpg', 'https://photos.zillowstatic.com/fp/a56c0e0acc18faaab7d260534c6ab5b2-p_e.jpg', 'https://photos.zillowstatic.com/fp/7ddf103c4deb4cc4c7ae92040754b1ef-p_e.jpg', 'https://photos.zillowstatic.com/fp/c016b62962384659b4481f8bfde5cb47-p_e.jpg', 'https://photos.zillowstatic.com/fp/5ef0983e2e909a692f69b3ca58849541-p_e.jpg', 'https://photos.zillowstatic.com/fp/e74f6683c38d2a2c30192e4bd8400bef-p_e.jpg', 'https://photos.zillowstatic.com/fp/12cb3c5cc64a3f7c027b9e6cde5acde9-p_e.jpg', 'https://photos.zillowstatic.com/fp/1dce4c8737a483a296b275a2e1d4fa01-p_e.jpg', 'https://photos.zillowstatic.com/fp/fea384b4018379f6cbcb66e4a805bf73-p_e.jpg', 'https://photos.zillowstatic.com/fp/6b1491b884173ae5bfb0b59d07d159c8-p_e.jpg', 'https://photos.zillowstatic.com/fp/24324e6597fbe8c9281aa75b84b6cce9-p_e.jpg', 'https://photos.zillowstatic.com/fp/aabdb9818186e34b1aa4bc3526dec386-p_e.jpg', 'https://photos.zillowstatic.com/fp/575f9f512d353fddc8e8035ee4c50ae2-p_e.jpg', 'https://photos.zillowstatic.com/fp/161775cb2e8d5d1bbd2ec7cde43ccb80-p_e.jpg', 'https://photos.zillowstatic.com/fp/f2b4172d0ed2a9ee9f54b33b084991a4-p_e.jpg', 'https://photos.zillowstatic.com/fp/8621f49a70581a99eb0950a983c68ad9-p_e.jpg', 'https://photos.zillowstatic.com/fp/930f9e52de076f7fee05cdc8df33ddeb-p_e.jpg', 'https://photos.zillowstatic.com/fp/074c242dc9465df8e8fc2d833a63b66c-p_e.jpg', 'https://photos.zillowstatic.com/fp/275b6c81fa9ebbb19e893f789645f9c1-p_e.jpg', 'https://photos.zillowstatic.com/fp/1e63b00d812698c979e52d76da7db9ca-p_e.jpg', 'https://photos.zillowstatic.com/fp/403b75d69c680635f20dd34edabf9d50-p_e.jpg', 'https://photos.zillowstatic.com/fp/e63673e10255b9d4e88241867167b1da-p_e.jpg', 'https://photos.zillowstatic.com/fp/e7575fb04c9c63aa77bc8e903e05c005-p_e.jpg', 'https://photos.zillowstatic.com/fp/b6d70e5ef84cd2179e10e21613ec7399-p_e.jpg', 'https://photos.zillowstatic.com/fp/488953439e973a20d137653402143625-p_e.jpg', 'https://photos.zillowstatic.com/fp/5a83a96f36d5d67a3b0ab70b6287bf1f-p_e.jpg', 'https://photos.zillowstatic.com/fp/a4c63814a38f3f7608f0776711d595e4-p_e.jpg', 'https://photos.zillowstatic.com/fp/652c3e4795ef5d03955d2e91aa03f083-p_e.jpg', 'https://photos.zillowstatic.com/fp/c0870829d592d93f1dd4000046b98be1-p_e.jpg']",https://www.zillow.com/homedetails/601-Shoreline-Dr-125-Mississauga-ON-L5B-4K2/447291255_zpid/
447170438,390 Dixon Rd #2008,Toronto,ON,M9R1T4,390 Dixon Rd #2008 Toronto ON M9R1T4,"C$241,000",1,1.0,,Condo for sale,CONDO,,,"['https://photos.zillowstatic.com/fp/5d3dd39beb0a7f9202acf0a0d68d8216-p_e.jpg', 'https://photos.zillowstatic.com/fp/f79dfe0f4596105e50f495ce9e6a9cf0-p_e.jpg', 'https://photos.zillowstatic.com/fp/67a91186924554a34eaca729feb92fc8-p_e.jpg', 'https://photos.zillowstatic.com/fp/7f84e33fe0bc4bd7125a1b6fef781b7b-p_e.jpg', 'https://photos.zillowstatic.com/fp/70cd0d43db6b7cd0996fc3ae1c0f39ee-p_e.jpg']",https://www.zillow.com/homedetails/390-Dixon-Rd-2008-Toronto-ON-M9R-1T4/447170438_zpid/
447518671,55 Barondale Dr #32,Mississauga,ON,L4Z3P9,55 Barondale Dr #32 Mississauga ON L4Z3P9,"C$569,000",4,3.0,,Townhouse for sale,TOWNHOUSE,,,[],https://www.zillow.com/homedetails/55-Barondale-Dr-32-Mississauga-ON-L4Z-3P9/447518671_zpid/
447518658,2485 Woking Cres #404,Mississauga,ON,L5K1Z6,2485 Woking Cres #404 Mississauga ON L5K1Z6,"C$488,000",3,2.0,,Condo for sale,CONDO,,,"['https://photos.zillowstatic.com/fp/68939de44bbfc3c3be91228b22d7ebf2-p_e.jpg', 'https://photos.zillowstatic.com/fp/1b3218cc0c1709d3d2e292e2d0f6bda7-p_e.jpg', 'https://photos.zillowstatic.com/fp/0810e09484006d08b989474936f5f593-p_e.jpg', 'https://photos.zillowstatic.com/fp/add8fa37c549984401eb68d9816b9396-p_e.jpg', 'https://photos.zillowstatic.com/fp/21c3897f997ae46a3718e21eace51cfc-p_e.jpg', 'https://photos.zillowstatic.com/fp/fad62f7cec1df4c11ba381597b4aed71-p_e.jpg', 'https://photos.zillowstatic.com/fp/60dba25b10acb5d51073751d8a5e9206-p_e.jpg', 'https://photos.zillowstatic.com/fp/faf1c43c7ede5a408fdea1bbead35094-p_e.jpg', 'https://photos.zillowstatic.com/fp/c91cb7fc3884fdebb61b88d61b803a34-p_e.jpg', 'https://photos.zillowstatic.com/fp/5cd610e19ecc6121d04ba08b1c52078f-p_e.jpg', 'https://photos.zillowstatic.com/fp/af921be75e2a9863c4146891a938b992-p_e.jpg', 'https://photos.zillowstatic.com/fp/94caf236f74c73a1c6a31d3fb7cb4767-p_e.jpg', 'https://photos.zillowstatic.com/fp/a380180793f9eca174d98e939cb54e52-p_e.jpg', 'https://photos.zillowstatic.com/fp/b894d81647ef2e16f34b4038d3c610db-p_e.jpg', 'https://photos.zillowstatic.com/fp/53bf52056ec218f3ef4ff29178462e8b-p_e.jpg', 'https://photos.zillowstatic.com/fp/f1edf537cd7e51fe61f1e9c0483f8388-p_e.jpg', 'https://photos.zillowstatic.com/fp/e5c9de7fb691ecf06fac7b17bf656c8f-p_e.jpg', 'https://photos.zillowstatic.com/fp/5f06d814b8fc9da18bcc9787b6b0f395-p_e.jpg', 'https://photos.zillowstatic.com/fp/ca4f7b5e73a5cf06b5db01e579f1d51b-p_e.jpg', 'https://photos.zillowstatic.com/fp/5bc48785fcf72d6e8d6efdee81baa560-p_e.jpg', 'https://photos.zillowstatic.com/fp/4919ed9523d54be4ca8eed3a72218238-p_e.jpg', 'https://photos.zillowstatic.com/fp/480f397d46a612fd2155f9520afd8da6-p_e.jpg', 'https://photos.zillowstatic.com/fp/7bc9270014a2650ee641b6c8872de3d0-p_e.jpg', 'https://photos.zillowstatic.com/fp/db8f8e6595b78ac57be03afa5a3f5c15-p_e.jpg', 'https://photos.zillowstatic.com/fp/9e2b0d576786873e7378a522c5bcf692-p_e.jpg', 'https://photos.zillowstatic.com/fp/76fc1278dd30c959a106675bdfb0c6b4-p_e.jpg', 'https://photos.zillowstatic.com/fp/7a74ad9ab80782a8776bb5c23c16c99e-p_e.jpg']",https://www.zillow.com/homedetails/2485-Woking-Cres-404-Mississauga-ON-L5K-1Z6/447518658_zpid/
445812383,30 Malta Ave #1405,Brampton,ON,L6Y4S5,30 Malta Ave #1405 Brampton ON L6Y4S5,"C$499,000",3,2.0,,Condo for sale,CONDO,,,['https://photos.zillowstatic.com/fp/6199aef1923e449dd0bc564abcf4fe56-p_e.jpg'],https://www.zillow.com/homedetails/30-Malta-Ave-1405-Brampton-ON-L6Y-4S5/445812383_zpid/
