link,Filter Type,GTIN code,Shipment Status,Product Details,dimensions_data,applications_data,cross_reference_data
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Hava%20filtresi/C%202326,Hava filtresi,4011558179908,Mevcut,,"{'A': '226', 'B': '168', 'H': '43'}",TOYOTA,"IPS,TOYOTA"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Hava%20filtresi/C%202329,Hava filtresi,4011558171407,Mevcut,,"{'A': '227', 'B': '170', 'H': '34'}","HONDA,INFINITI,NISSAN,RENAULT,SUBARU","HONDA,IPS,NISSAN,RENAULT,SUBARU"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Hava%20filtresi/C%2016%20014,Hava filtresi,4011558090081,Mevcut,,"{'A': '164', 'B': '123', 'H': '255'}",BOBCAT,BOBCAT
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Hava%20filtresi/C%202330,Hava filtresi,4011558383404,Mevcut,,"{'A': '230', 'B': '177', 'H': '52'}",SUZUKI,SUZUKI
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/ZR%20902%20x,Yað filtresi,4011558743604,Mevcut,Yað santrifüj Rotoru. contalý.,"{'A': '92', 'F': '14', 'G': '16', 'H': '122'}","RENAULT BUS (IRISBUS/RVI),RENAULT TRUCKS (RVI),ROMAN S.A. (DAC),SISU AUTO","KNORR-BREMSE,MACK,MERCEDES-BENZ (DAIMLER AG),RENAULT TRUCKS (RVI)"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/%C4%B0%C3%A7%20mekan%20filtresi/CU%204624,Ýç mekan filtresi,4011558309107,Mevcut,Partikül filtresi. Montaj süresi [dak] 15 min.. Montaj tarafý Torpido gözünün altýndaki yolcu alaný.,"{'A': '460', 'B': '108', 'H': '30'}",MINI (BMW GROUP),BMW
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/ZR%20905%20z,Yað filtresi,4011558751104,Mevcut,Yað santrifüj Rotoru. contalý.,"{'D': '104', 'F': '6', 'G': '11', 'H': '145'}","DAF TRUCKS,GINAF,IRIZAR,SOLARIS BUS,TATRA,TEMSA BUS,VAN HOOL,VDL BUS + COACH","DAF,PACCAR,RENAULT TRUCKS (OKELIA)"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/%C4%B0%C3%A7%20mekan%20filtresi/CU%2045%20120,Ýç mekan filtresi,4011558307707,Mevcut,Partikül filtresi.,"{'A': '460', 'B': '237', 'H': '30'}","MAN BUS (NEOMAN),NEOPLAN (NEOMAN)","AURORA,DREIHA,MAN"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/%C4%B0%C3%A7%20mekan%20filtresi/CU%204594,Ýç mekan filtresi,4011558311902,Mevcut,Partikül filtresi.,"{'A': '449', 'B': '206', 'H': '25'}","ASTRA (IVECO GROUP),IVECO,IVECO BUS","IVECO,KNORR-BREMSE,RENAULT TRUCKS (OKELIA),WEBASTO - SPHEROS"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20820~23,Yakýt Filtresi,4011558344566,Mevcut,,"{'A': '86', 'F': '10', 'G': '8', 'H': '100'}",MERCEDES-BENZ,MERCEDES-BENZ (DAIMLER AG)
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/%C4%B0%C3%A7%20mekan%20filtresi/CU%2046%20001,Ýç mekan filtresi,4011558017903,Mevcut,Partikül filtresi.,"{'A': '460', 'B': '94', 'H': '30'}",TATRA,TATRA
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20820~21,Yakýt Filtresi,4011558061739,Mevcut,Saðdan direksiyonlu araç.,"{'A': '86', 'F': '10', 'G': '8', 'H': '100'}","INFINITI,MERCEDES-BENZ",MERCEDES-BENZ (DAIMLER AG)
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20820~22,Yakýt Filtresi,4011558061760,Mevcut,,"{'A': '86', 'F': '10', 'G': '8', 'H': '100'}","INFINITI,MERCEDES-BENZ","MERCEDES-BENZ (DAIMLER AG),NISSAN"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%208215,Yakýt Filtresi,4011558045128,Mevcut,,"{'A': '80', 'H': '144'}","AMMANN,BERGMANN,BOBCAT,CASE CONSTRUCTION,DYNAPAC-WINGET,FARESIN,HITACHI,HYSTER,HYUNDAI CONSTRUCTION,JOHN DEERE,KOBELCO,KOMATSU,KRAMER ALLRAD (WACKER NEUSON),LIEBHERR,SANY,TAKEUCHI,TONG YANG MOOLSAN (TYM),WEIDEMANN (WACKER NEUSON),WINGET / DYNAPAC,YALE,YANMAR,YANMAR DIESEL","AMMANN,BOBCAT,CASE-INTERNATIONAL/CASE-IH,CNH INDUSTRIAL,CUMMINS,DOOSAN,DYNAPAC,GEHL,HYSTER,HYUNDAI CONSTRUCTION,JLG,JOHN DEERE,KOMATSU,KRAMER,LIEBHERR,MECALAC,TAKEUCHI,WEIDEMANN,YALE,YANMAR"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%208205,Yakýt Filtresi,4011558809799,Mevcut,,"{'A': '80', 'F': 'M12xP1.25-6H', 'G': 'M 16 X 1.5 - 6H', 'H': '142'}","HYUNDAI,KIA MOTORS,SSANGYONG","HYUNDAI,KIA MOTORS"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20821,Yakýt Filtresi,4011558905200,Mevcut,,"{'A': '81', 'B': '61', 'C': '70', 'G': 'M 16 X 1.5', 'H': '129'}","ATLAS WEYCOR (ATLAS WEYHAUSEN),BMW MARINE POWER,CATERPILLAR,CITROEN,FIAT,HAMM (WIRTGEN GROUP),HATZ,INNOCENTI,MEGA (AIXAM-MEGA FRANCE),NISSAN,PEUGEOT,ROVER (MG ROVER GROUP LTD)","BMW,CITROEN,FIAT GROUP (ALFA/FIAT/LANCIA),IPS,NISSAN,PEUGEOT"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Hava%20filtresi/C%2016%20013,Hava filtresi,4011558089603,Mevcut,,"{'A': '165', 'B': '87', 'H': '358'}","CATERPILLAR,INGERSOLL-RAND,YALE","CATERPILLAR,HYSTER,INGERSOLL-RAND,JLG,YALE"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20940~42,Yakýt Filtresi,4011558964801,Mevcut,,"{'A': '93', 'B': '63', 'C': '72', 'G': 'M24x1.5', 'H': '147'}","MOXY (DOOSAN),PRINOTH,SCANIA,SCANIA BUS / SCANIA-IRIZAR","KLEEMANN,KNORR-BREMSE,RENAULT TRUCKS (OKELIA),SCANIA,SCHNELL"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20941,Yakýt Filtresi,4011558054694,tek olarak satilmaz,LS 9,"{'A': '93', 'B': '75', 'C': '88', 'G': '1 1/2 -16 UNB', 'H': '142'}",,GILBARCO
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/WP%2012%20121,Yað filtresi,4011558027797,Mevcut,,"{'A': '118', 'B': '102', 'C': '119', 'G': '2 1/4 - 12 UNS', 'H': '302'}","AGCO,BMC (TR),CASE-IH (CNH GLOBAL),CUMMINS,DENNIS BUS / ALEXANDER DENNIS,DONGFENG,FODEN,HITACHI,HYUNDAI CONSTRUCTION,INGERSOLL-RAND,JCB (J.C. BAMFORD),JOHN DEERE,KAMAZ,KING LONG BUSES,KOMATSU,MCCORMICK (ARGO),NEW HOLLAND,SENNEBOGEN,SISU AUTO,SOLARIS BUS,TEREX,WIRTGEN (WIRTGEN GROUP)","AGCO,AMMANN,BMC (TR),CASE CONSTRUCTION,CASE-INTERNATIONAL/CASE-IH,CUMMINS,DOOSAN,FREIGHTLINER,FURUKAWA,GENIE,HYSTER,HYUNDAI CONSTRUCTION,INGERSOLL-RAND,J.C.BAMFORD,JOHN DEERE,KING LONG,KOMATSU,KRALINATOR,MANITOWOC,MC CORMICK,NEW HOLLAND (CNH),SENNEBOGEN,SISU DIESEL,SOLARIS BUS,VAN HOOL,VERSATILE,VOLVO (TRUCKS/VCE/VME/PENTA),WIRTGEN GROUP"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20822~1,Yakýt Filtresi,4011558937300,Mevcut,,"{'A': '87', 'F': '11', 'G': '12', 'H': '101'}",MERCEDES-BENZ,MERCEDES-BENZ (DAIMLER AG)
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/WP%2012%20120~1,Yað filtresi,4011558024116,Mevcut,,"{'A': '118', 'B': '98', 'C': '109', 'G': 'M95x2.5', 'H': '289'}","BMC (TR),CASE CONSTRUCTION,CUMMINS,DAEWOO / TATA-DAEWOO,DAEWOO CONSTRUCTION EQUIPMENT,DONGFENG,DOOSAN,ERF (E.R.F.),FODEN,FREIGHTLINER,HITACHI,HYSTER,HYUNDAI CONSTRUCTION,JOHN DEERE,KAMAZ,KAWASAKI,KOMATSU,LIEBHERR,LINDE,SENNEBOGEN,SISU AUTO,TERBERG","CASE CONSTRUCTION,CASE-INTERNATIONAL/CASE-IH,CUMMINS,DAEWOO CONSTRUCTION EQUIPMENT,DOOSAN,DYNAPAC,EUCLID,FIAT-HITACHI,GROVE,HYSTER,HYUNDAI CONSTRUCTION,INGERSOLL-RAND,INGERSOLL-RAND/DOOSAN,KALMAR LMV,KOBELCO,KOMATSU,KRALINATOR,LIEBHERR,LINDE,MANITOWOC,NEW HOLLAND (CNH),SENNEBOGEN,SISU DIESEL,TEREX"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/ZR%20903%20x,Yað filtresi,4011558743703,Mevcut,Yað santrifüj Rotoru. contalý.,"{'A': '91', 'F': '14', 'G': '14', 'H': '124'}","DAF TRUCKS,GINAF,SOLARIS BUS,VAN HOOL,VDL BUS + COACH","DAF,KNORR-BREMSE,RENAULT TRUCKS (OKELIA),SOLARIS BUS"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20940~5,Yakýt Filtresi,4011558903107,Mevcut,LS 9,"{'A': '93', 'B': '62', 'C': '71', 'G': 'M16x1.5', 'H': '142'}","AGCO,ALLIS-CHALMERS,ATLAS (TEREX),BOMAG,CLAAS,DEMAG BAGGER (MANNESM.-DEMAG),DEMAG MOBILE CRANES,DEUTZ AG (ENGINES),DEUTZ-FAHR (SAME DEUTZ-FAHR),DYNAPAC-WINGET,FAUN,FAUN (TADANO FAUN),FENDT (AGCO),FORD,GOTTWALD,GROVE,HYUNDAI CONSTRUCTION,IVECO,IVECO (MAGIRUS),JCB (J.C. BAMFORD),KAELBLE,LIEBHERR,MENCK + HAMBROCK,MENGELE (CNH GLOBAL/MENGELE),MWM (CATERPILLAR),NEOPLAN (NEOMAN),O+K ORENSTEIN + KOPPEL (CNH),POCLAIN,STEYR  (MAN-STEYR AG),SULLAIR,TAM,TEREX,WESERHUETTE,ZETTELMEYER (VOLVO)","AGCO,BOMAG,DEMAG (COMPAIR),DEUTZ AG / DEUTZ-FAHR (KHD),FAHR (DEUTZ-FAHR),FENDT,FORD,INMESOL POWER SOLUTIONS,IVECO,KAELBLE,KNORR-BREMSE,LIEBHERR,MERCEDES-BENZ (DAIMLER AG),MWM,PERKINS,SULLAIR,TAMROCK,VOEGELE,ZETTELMEYER"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20940~6%20x,Yakýt Filtresi,4011558904302,Mevcut,contalý.,"{'A': '93', 'B': '62', 'C': '71', 'F': 'M36x1.5', 'G': '3/4-16 UNF', 'H': '155'}","BMC (TR),EBRO (MISA),FORD,HITACHI,LDV LIMITED,LONDON TAXI INTERNATIONAL,NISSAN,NISSAN DIESEL / UD TRUCKS","BMC (TR),FORD,IPS,NISSAN,RENAULT TRUCKS (OKELIA)"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/WP%2012%20308,Yað filtresi,4011558801205,Mevcut,,"{'A': '119', 'B': '101', 'C': '119', 'G': '2 1/4-12 UN-2B', 'H': '238'}","AGCO,CASE CONSTRUCTION,CASE-IH (CNH GLOBAL),JCB (J.C. BAMFORD),KOMATSU,NEW HOLLAND","AGCO,CASE CONSTRUCTION,CASE-INTERNATIONAL/CASE-IH,CUMMINS,IHC / CASE IH,KOMATSU,KRALINATOR,NEW HOLLAND (CNH)"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/ZR%20904%20x,Yað filtresi,4011558743802,Mevcut,Yað santrifüj Rotoru. contalý.,"{'A': '91', 'F': '10', 'G': '12.5', 'H': '124'}","DONGFENG,IVECO BUS,MAZ,RENAULT TRUCKS (RVI),SISU AUTO","IVECO,KNORR-BREMSE,MACK,MAZ,RENAULT TRUCKS (RVI)"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/WP%201270,Yað filtresi,4011558030049,Mevcut,,"{'A': '118', 'B': '110', 'C': '120', 'G': '1 3/8-16 UN', 'H': '248'}","AG-CHEM (AGCO),AVELING BARFORD,BEDFORD,BOMAG,BRAY CONSTRUCTION,CASE CONSTRUCTION,CASE-IH (CNH GLOBAL),CATERPILLAR,CLARK EQUIPMENT,CUMMINS,DEMAG BAGGER (MANNESM.-DEMAG),DOOSAN COMPRESSORS,ERF (E.R.F.),EUCLID,FAUN,FIAT-ALLIS/GEOTECH/HITACHI,FODEN,FORD,FURUKAWA-DRESSER,GMC / DETROIT DIESEL,GROVE,HITACHI,HY-MAC,INGERSOLL-RAND,IVECO BUS,JCB (J.C. BAMFORD),JOHN DEERE,KAWASAKI,KOCKUMS,KOMATSU,LEYLAND,LIEBHERR,MANITOU,MASSEY-FERGUSON TRAKTOREN (AGCO),METRO-CAMMELL-WEYMANN,MICHIGAN,P + H CO. (HARNISCHFEGER),PETERBILT,PETTER,POCLAIN,ROMAN S.A. (DAC),SEDDON ATKINSON,SISU AUTO","AG CHEM EQUIP,AGCO,ALLIS CHALMERS,CATERPILLAR,CLARK MICHIGAN,CUMMINS,DEMAG (COMPAIR),FIAT-HITACHI,HITACHI,IHC / CASE IH,INGERSOLL-RAND/DOOSAN,JOHN DEERE,KOMATSU,KRALINATOR,LIEBHERR,MITSUBISHI,ORENSTEIN + KOPPEL (O+K)"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/WP%2012%20300,Yað filtresi,4011558800505,Mevcut,,"{'A': '118', 'B': '104', 'C': '119', 'G': '2 1/4-12 UN', 'H': '294'}","AG-CHEM (AGCO),AGCO,BMC (TR),BOMBARDIER,CASE CONSTRUCTION,CASE-IH (CNH GLOBAL),CUMMINS,DAF TRUCKS,DENNIS TRUCKS / DENNIS EAGLE,DOOSAN COMPRESSORS,ERF (E.R.F.),EUCLID,FIAT-ALLIS/GEOTECH/HITACHI,FODEN,FURUKAWA,HITACHI,HOKUETSU,HYUNDAI CONSTRUCTION,INGERSOLL-RAND,JCB (J.C. BAMFORD),JOHN DEERE,KAESSBOHRER PISTEN BULLY,KOMATSU,LIEBHERR,MASSEY-FERGUSON TRAKTOREN (AGCO),METRO-CAMMELL-WEYMANN,NEW HOLLAND,O+K ORENSTEIN + KOPPEL (CNH),SAMSUNG,SEDDON ATKINSON,SISU AUTO,TEMSA BUS,TEREX,TIMBERJACK (JOHN DEERE),VOLVO CONSTRUCTION EQUIPMENT,WINGET / DYNAPAC,ZETTELMEYER (VOLVO)","AG CHEM EQUIP,AGCO,AMMANN,BMC (TR),CASE CONSTRUCTION,CATERPILLAR,CUMMINS,DAF,DOOSAN,E.R.F.,FIAT-HITACHI,FURUKAWA,GRADALL,GROVE,HITACHI,HYUNDAI CONSTRUCTION,IHC / CASE IH,INGERSOLL-RAND,INGERSOLL-RAND/DOOSAN,J.C.BAMFORD,JOHN DEERE,KOMATSU,KRALINATOR,LIEBHERR,MANITOWOC,MASSEY-FERGUSON,NEW HOLLAND (CNH),ONAN,RENAULT SAMSUNG MOTORS,RENAULT TRUCKS (OKELIA),TAYLOR MACHINE,TIMBERJACK,VERSATILE,VOLVO (TRUCKS/VCE/VME/PENTA)"
